company_name,vat_number,address,city,postal_code,country,email,phone
"Van Der Meer Logistics B.V.",NL823456789B01,"Havenstraat 45",Rotterdam,3011 XH,Netherlands,info@vandermeer-log.nl,+31 10 414 5678
"Bradwick Materials Ltd",GB123456789,"82 Victoria Road",London,E16 3PQ,United Kingdom,transport@bradwick.co.uk,+44 20 7474 8900
"Nordvik Paper AB",SE559876543201,"Industrivägen 23",Gothenburg,411 38,Sweden,logistics@nordvikpaper.se,+46 31 750 2300
"Vermeulen Transport",BE0876543210,"Rue du Port 156",Antwerp,2000,Belgium,planning@vermeulen.be,+32 3 231 4567
"Grupo Castellano S.L.",ES12345678A,"Calle del Puerto 78",Valencia,46021,Spain,transporte@grupocastellano.es,+34 96 337 8900
"Richter Chemie GmbH",DE234567891,"Hafenallee 234",Hamburg,20457,Germany,logistik@richter-chemie.de,+49 40 3742 1500
"Kowalski Dystrybucja Sp. z o.o.",PL5263456789,"ul. Magazynowa 67",Warsaw,00-801,Poland,transport@kowalski-dyst.pl,+48 22 654 3210
"Gruppo Moretti S.r.l.",IT12345678901,"Via del Porto 89",Genoa,16126,Italy,spedizioni@gruppomoretti.it,+39 010 234 5678
"De Bruijn Retail B.V.",NL856789012B02,"Logistiekweg 112",Amsterdam,1014 BV,Netherlands,warehouse@debruijn.nl,+31 20 789 4321
"Steinbach Pharma AG",AT123456789,"Industriestraße 45",Vienna,1220,Austria,versand@steinbach-pharma.at,+43 1 234 5678
"Pemberton Freight Ltd",GB987654321,"Maritime House, Dock Street",Dover,CT16 1LB,United Kingdom,bookings@pembertonfreight.com,+44 1304 240 500
"Dubois Granulats SARL",FR78901234567,"12 Quai des Marchands",Le Havre,76600,France,transport@dubois-granulats.fr,+33 2 35 42 7890
"Baltika Metals UAB",LT123456789012,"Uosto g. 34",Klaipeda,91246,Lithuania,logistics@baltikametals.lt,+370 46 397 000
"Keller Logistics AG",CH123456789,"Bahnhofstrasse 78",Zurich,8001,Switzerland,dispatch@keller-log.ch,+41 44 256 8900
"Van Houten Bouwstoffen B.V.",NL890123456B01,"Distributiecentrum 23",Eindhoven,5652 AC,Netherlands,transport@vanhouten-bouw.nl,+31 40 290 1234
"Coppens Chemical N.V.",BE0456789123,"Industrieweg 156",Genk,3600,Belgium,logistics@coppens-chem.be,+32 89 36 4500
"Port Services Zeebrugge N.V.",BE0567891234,"Kustlaan 89",Zeebrugge,8380,Belgium,operations@psz.be,+32 50 55 6789
"Delacroix Pharma S.A.",BE0678912345,"Avenue Louise 234",Brussels,1050,Belgium,expedition@delacroix-pharma.be,+32 2 640 8900
"Automotive Parts Mechelen N.V.",BE0789123456,"Antwerpsesteenweg 78",Mechelen,2800,Belgium,logistics@apm-parts.be,+32 15 29 3456
"Terminal Noordzee N.V.",BE0891234567,"Noorderlaan 147",Antwerp,2030,Belgium,planning@terminal-noordzee.be,+32 3 541 7890
